txt_path,author,document_url
results_for_evaluation/04556e68-aaa3-a782-e9dc-221d069b3c90.txt,"Великолюбінська громада. Львівська область, Львівський район",https://rada.info/upload/users_files/04373057/docs/42d02003ea8cd30e9daa3975820398d9.docx#041136ce0688dd942b559e5913780688
results_for_evaluation/04644147-aac4-2166-b8e1-29587682fc64.txt,"Тиврівська громада. Вінницька область, Вінницький район",https://rada.info/upload/users_files/04326201/90b20a2f08103e6f74670e1962fb0420.doc#3d6e62d8758e8dc237fd5f935640841e
results_for_evaluation/046fcd1c-4cca-a5b8-bddc-3ed2636e9d3f.txt,"Шпиківська громада. Вінницька область, Тульчинський район",https://rada.info/upload/users_files/04326261/docs/e3b84236a7f4b7cb5132a33fd04bdd22.pdf#610ba3eb64a4112f0fb844f9c607a2f8
results_for_evaluation/0489c074-2508-fbe1-cf92-e212ab4a67b5.txt,"Дашівська громада. Вінницька область, Гайсинський район",https://rada.info/upload/users_files/04326081/docs/78ff8f458e0519f39f4de6f5c56c2e95.jpg#ddb2b4523e923de1a894933cc7655508
results_for_evaluation/04b71f88-3312-72db-5029-1d159876130d.txt,"Чорнухинська громада. Полтавська область, Лубенський район",https://rada.info/upload/users_files/22550119/docs/4d595aa92fc366409317e1c67d1a3468.pdf#1317628a8ed456e36af0218f7a6c95f5
results_for_evaluation/04bab739-5cff-b2cc-9de6-f0acbd0625a3.txt,"Полянська громада. Закарпатська область, Мукачівський район",https://rada.info/upload/users_files/04351587/docs/3560022e6efeca198e99997584e4bbb1.docx#052ad293c4666445627d0d2c5bcc644d
results_for_evaluation/04efa3fb-0160-33c9-9968-af7e1145131f.txt,"Колодяжненська громада. Волинська область, Ковельський район",https://rada.info/upload/users_files/04333974/docs/a65a334d98e8a484a860b1c6f0b6a850.doc#5da22cda9fa0b71fc035955df53f0309
results_for_evaluation/0562f566-392d-7e87-941d-1e697b02d209.txt,"Покровська громада. Дніпропетровська область, Нікопольський район",https://rada.info/upload/users_files/04340342/docs/a634026a03d709a7c3dc271d512f1734.pdf#642d31d2216d858d839da6ac99a932e4
results_for_evaluation/05685b16-5165-9f26-8495-84622cbf011c.txt,"Берестечківська громада. Волинська область, Луцький район",https://rada.info/upload/users_files/04051262/docs/be6f8cb93dd56bd0f4e69f11a7980ed4.pdf#f8323921b0c1875e4ac5c2132ae13dee
results_for_evaluation/05737984-7efc-9081-6f44-f331997f514b.txt,"Крупецька громада. Хмельницька область, Шепетівський район",https://rada.info/upload/users_files/04405030/docs/0ddbfcc1de8c40a105400318e3265dba.docx#0dd7128868347801cffa76b6c4d6cc84
